ID,SurNum,Date,File1,Score1,File2,Score2
875888,48,22/10/2021 16:23,022090F_7.jpg,4,022090_gt.jpg,4
875888,48,22/10/2021 16:23,187029_gt.jpg,5,187029D_2.jpg,3
184686,49,22/10/2021 16:23,242078_gt.jpg,4,242078D_2.jpg,2
875888,48,22/10/2021 16:23,323016O_1.jpg,4,323016_gt.jpg,4
929087,49,22/10/2021 16:23,078019C_4.jpg,4,078019_gt.jpg,5
875888,48,22/10/2021 16:23,242078D_1.jpg,4,242078_gt.jpg,4
929087,49,22/10/2021 16:23,376001_gt.jpg,5,376001B_3.jpg,4
875888,48,22/10/2021 16:23,078019AC_4.jpg,4,078019_gt.jpg,5
653409,49,22/10/2021 16:23,022090AF_7.jpg,5,022090_gt.jpg,4
184686,49,22/10/2021 16:23,024004_gt.jpg,5,024004AB_2.jpg,4
875888,48,22/10/2021 16:23,239096_gt.jpg,5,239096AF_3.jpg,4
184686,49,22/10/2021 16:23,323016AF_7.jpg,4,323016_gt.jpg,2
929087,49,22/10/2021 16:23,015004_gt.jpg,5,015004D_3.jpg,4
875888,48,22/10/2021 16:24,015004_gt.jpg,5,015004C_4.jpg,3
875888,48,22/10/2021 16:24,151087G_3.jpg,4,151087_gt.jpg,4
184686,49,22/10/2021 16:24,025098_gt.jpg,5,025098AC_1.jpg,3
929087,49,22/10/2021 16:24,065019_gt.jpg,4,065019F_3.jpg,5
875888,48,22/10/2021 16:24,022093G_1.jpg,5,022093_gt.jpg,5
875888,48,22/10/2021 16:24,046076_gt.jpg,5,046076AF_10.jpg,4
653409,49,22/10/2021 16:24,118020F_4.jpg,4,118020_gt.jpg,5
184686,49,22/10/2021 16:24,046076_gt.jpg,4,046076B_4.jpg,2
875888,48,22/10/2021 16:24,140075AF_2.jpg,4,140075_gt.jpg,4
184686,49,22/10/2021 16:24,118035_gt.jpg,5,118035AF_12.jpg,2
653409,49,22/10/2021 16:24,153093B_1.jpg,3,153093_gt.jpg,5
875888,48,22/10/2021 16:24,025098AF_13.jpg,3,025098_gt.jpg,5
929087,49,22/10/2021 16:24,140075_gt.jpg,5,140075AG_4.jpg,3
875888,48,22/10/2021 16:24,198023AC_1.jpg,5,198023_gt.jpg,4
184686,49,22/10/2021 16:24,151087AF_9.jpg,5,151087_gt.jpg,3
875888,48,22/10/2021 16:24,065019B_1.jpg,4,065019_gt.jpg,5
875888,48,22/10/2021 16:25,153093F_10.jpg,5,153093_gt.jpg,4
929087,49,22/10/2021 16:25,187029_gt.jpg,5,187029AC_2.jpg,3
875888,48,22/10/2021 16:25,376001_gt.jpg,5,376001AF_8.jpg,4
184686,49,22/10/2021 16:25,078019C_4.jpg,3,078019_gt.jpg,5
875888,48,22/10/2021 16:25,056028AF_5.jpg,5,056028_gt.jpg,4
875888,48,22/10/2021 16:25,024004_gt.jpg,5,024004AB_4.jpg,4
929087,49,22/10/2021 16:25,239096_gt.jpg,5,239096AF_4.jpg,4
653409,49,22/10/2021 16:25,242078_gt.jpg,5,242078D_2.jpg,4
875888,48,22/10/2021 16:25,118035_gt.jpg,5,118035F_1.jpg,5
184686,49,22/10/2021 16:25,376001_gt.jpg,4,376001B_3.jpg,2
653409,49,22/10/2021 16:25,024004_gt.jpg,4,024004AB_2.jpg,3
184686,49,22/10/2021 16:25,015004_gt.jpg,4,015004D_3.jpg,1
653409,49,22/10/2021 16:26,323016AF_7.jpg,5,323016_gt.jpg,4
929087,49,22/10/2021 16:26,198023I_1.jpg,3,198023_gt.jpg,5
184686,49,22/10/2021 16:26,065019_gt.jpg,5,065019F_3.jpg,4
653409,49,22/10/2021 16:26,025098_gt.jpg,5,025098AC_1.jpg,4
929087,49,22/10/2021 16:26,056028AD_2.jpg,5,056028_gt.jpg,3
184686,49,22/10/2021 16:26,140075_gt.jpg,4,140075AG_4.jpg,5
184686,49,22/10/2021 16:26,187029_gt.jpg,4,187029AC_2.jpg,5
184686,49,22/10/2021 16:26,239096_gt.jpg,5,239096AF_4.jpg,4
184686,49,22/10/2021 16:27,198023I_1.jpg,2,198023_gt.jpg,4
929087,49,22/10/2021 16:27,022093_gt.jpg,5,022093AF_1.jpg,4
653409,49,22/10/2021 16:27,046076_gt.jpg,5,046076B_4.jpg,3
653409,49,22/10/2021 16:27,118035_gt.jpg,5,118035AF_12.jpg,4
493401,49,22/10/2021 16:27,022090AF_7.jpg,5,022090_gt.jpg,4
184686,49,22/10/2021 16:27,056028AD_2.jpg,2,056028_gt.jpg,3
653409,49,22/10/2021 16:27,151087AF_9.jpg,4,151087_gt.jpg,4
184686,49,22/10/2021 16:27,022093_gt.jpg,4,022093AF_1.jpg,5
653409,49,22/10/2021 16:27,078019C_4.jpg,3,078019_gt.jpg,5
493401,49,22/10/2021 16:27,118020F_4.jpg,5,118020_gt.jpg,5
493401,49,22/10/2021 16:28,153093B_1.jpg,3,153093_gt.jpg,5
653409,49,22/10/2021 16:28,376001_gt.jpg,5,376001B_3.jpg,4
493401,49,22/10/2021 16:28,242078_gt.jpg,4,242078D_2.jpg,3
653409,49,22/10/2021 16:28,015004_gt.jpg,5,015004D_3.jpg,4
653409,49,22/10/2021 16:29,065019_gt.jpg,4,065019F_3.jpg,4
653409,49,22/10/2021 16:29,140075_gt.jpg,4,140075AG_4.jpg,2
653409,49,22/10/2021 16:30,187029_gt.jpg,4,187029AC_2.jpg,5
653409,49,22/10/2021 16:30,239096_gt.jpg,5,239096AF_4.jpg,4
653409,49,22/10/2021 16:30,198023I_1.jpg,4,198023_gt.jpg,5
493401,49,22/10/2021 16:30,024004_gt.jpg,5,024004AB_2.jpg,4
653409,49,22/10/2021 16:31,056028AD_2.jpg,4,056028_gt.jpg,5
493401,49,22/10/2021 16:31,323016AF_7.jpg,5,323016_gt.jpg,4
878346,49,22/10/2021 16:31,022090AF_7.jpg,4,022090_gt.jpg,4
878346,49,22/10/2021 16:31,118020F_4.jpg,4,118020_gt.jpg,3
878346,49,22/10/2021 16:31,153093B_1.jpg,4,153093_gt.jpg,3
653409,49,22/10/2021 16:31,022093_gt.jpg,4,022093AF_1.jpg,5
493401,49,22/10/2021 16:31,025098_gt.jpg,5,025098AC_1.jpg,4
878346,49,22/10/2021 16:31,242078_gt.jpg,5,242078D_2.jpg,3
493401,49,22/10/2021 16:31,046076_gt.jpg,5,046076B_4.jpg,3
878346,49,22/10/2021 16:31,024004_gt.jpg,4,024004AB_2.jpg,4
493401,49,22/10/2021 16:31,118035_gt.jpg,5,118035AF_12.jpg,4
878346,49,22/10/2021 16:31,323016AF_7.jpg,5,323016_gt.jpg,4
878346,49,22/10/2021 16:32,025098_gt.jpg,4,025098AC_1.jpg,4
493401,49,22/10/2021 16:32,151087AF_9.jpg,4,151087_gt.jpg,4
878346,49,22/10/2021 16:32,046076_gt.jpg,4,046076B_4.jpg,5
493401,49,22/10/2021 16:32,078019C_4.jpg,4,078019_gt.jpg,5
878346,49,22/10/2021 16:32,118035_gt.jpg,4,118035AF_12.jpg,4
878346,49,22/10/2021 16:32,151087AF_9.jpg,4,151087_gt.jpg,4
493401,49,22/10/2021 16:32,376001_gt.jpg,5,376001B_3.jpg,4
878346,49,22/10/2021 16:32,078019C_4.jpg,5,078019_gt.jpg,4
878346,49,22/10/2021 16:32,376001_gt.jpg,5,376001B_3.jpg,4
493401,49,22/10/2021 16:32,015004_gt.jpg,5,015004D_3.jpg,2
878346,49,22/10/2021 16:32,015004_gt.jpg,4,015004D_3.jpg,3
878346,49,22/10/2021 16:32,065019_gt.jpg,4,065019F_3.jpg,4
493401,49,22/10/2021 16:32,065019_gt.jpg,5,065019F_3.jpg,5
878346,49,22/10/2021 16:32,140075_gt.jpg,5,140075AG_4.jpg,3
493401,49,22/10/2021 16:33,140075_gt.jpg,5,140075AG_4.jpg,1
878346,49,22/10/2021 16:33,187029_gt.jpg,4,187029AC_2.jpg,4
878346,49,22/10/2021 16:33,239096_gt.jpg,4,239096AF_4.jpg,4
878346,49,22/10/2021 16:33,198023I_1.jpg,4,198023_gt.jpg,4
878346,49,22/10/2021 16:33,056028AD_2.jpg,4,056028_gt.jpg,4
493401,49,22/10/2021 16:33,187029_gt.jpg,4,187029AC_2.jpg,5
878346,49,22/10/2021 16:33,022093_gt.jpg,4,022093AF_1.jpg,4
493401,49,22/10/2021 16:33,239096_gt.jpg,5,239096AF_4.jpg,4
493401,49,22/10/2021 16:33,198023I_1.jpg,4,198023_gt.jpg,5
493401,49,22/10/2021 16:33,056028AD_2.jpg,4,056028_gt.jpg,5
493401,49,22/10/2021 16:34,022093_gt.jpg,4,022093AF_1.jpg,5
606394,49,22/10/2021 16:35,022090AF_7.jpg,5,022090_gt.jpg,4
606394,49,22/10/2021 16:35,118020F_4.jpg,4,118020_gt.jpg,5
606394,49,22/10/2021 16:35,153093B_1.jpg,3,153093_gt.jpg,5
606394,49,22/10/2021 16:35,242078_gt.jpg,5,242078D_2.jpg,1
606394,49,22/10/2021 16:36,024004_gt.jpg,4,024004AB_2.jpg,5
606394,49,22/10/2021 16:36,323016AF_7.jpg,5,323016_gt.jpg,4
606394,49,22/10/2021 16:36,025098_gt.jpg,5,025098AC_1.jpg,4
606394,49,22/10/2021 16:36,046076_gt.jpg,5,046076B_4.jpg,3
606394,49,22/10/2021 16:36,118035_gt.jpg,5,118035AF_12.jpg,4
606394,49,22/10/2021 16:37,151087AF_9.jpg,5,151087_gt.jpg,4
606394,49,22/10/2021 16:37,078019C_4.jpg,4,078019_gt.jpg,5
606394,49,22/10/2021 16:37,376001_gt.jpg,5,376001B_3.jpg,4
606394,49,22/10/2021 16:37,015004_gt.jpg,5,015004D_3.jpg,2
606394,49,22/10/2021 16:37,065019_gt.jpg,5,065019F_3.jpg,5
606394,49,22/10/2021 16:37,140075_gt.jpg,5,140075AG_4.jpg,4
606394,49,22/10/2021 16:37,187029_gt.jpg,5,187029AC_2.jpg,4
